rank,stadium,seating_capacity,region,country,city,image,home_team,latitude,longitude
328,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/150px-Estadio_Gigante_de_Arroyito.jpg,['Rosario Central'],-32.9140452,-60.6741857
329,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/150px-CTE_Chamay_Aereo_Cut.jpg,"['Atlético Club Mineros de Guayana', 'AC Minervén FC']",8.3126419,-62.6962556
330,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/150px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,['LDU'],-0.1080242,-78.489666
331,Allianz Stadium,41507,Europe,Italy,Turin Piedmont,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/150px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,['Juventus FC'],45.1095522,7.6412777
332,Sapporo Dome,41484,East Asia,Japan,Sapporo Hokkaido,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/150px-Sapporo_Dome_001.jpeg,['Hokkaido Consadole Sapporo'],43.0151351,141.4097379
333,Stamford Bridge,41663,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/150px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,['Chelsea'],51.4817241,-0.1909471
334,Goyang Stadium,41311,East Asia,South Korea,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/150px-Goyang_sta_1.JPG,[],37.6763823,126.7430878
335,Estadio Hernando Siles,41143,South America,Bolivia,La Paz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/150px-Hernando_Siles_Stadium_-_La_Paz.jpg,"['La Paz FC', 'Club Bolívar', 'The Strongest']",-16.4994236,-68.1226674
336,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/BINGU_NATIONAL_STADIUM.jpg/150px-BINGU_NATIONAL_STADIUM.jpg,"['Flames', 'Big Bullets FC']",-13.9438937,33.7531604
337,Mbombela Stadium,40929,Africa,South Africa,Nelspruit Mpumalanga,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/150px-Mbombela_Stadium_arena.jpg,[],-25.461724,30.9297173
338,Estadio Jos Pachencho Romero,40800,South America,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/150px-JPPachenchoRomero-16.jpg,"['Deportivo JBL del Zulia', 'Deportivo Rayo Zuliano']",10.6740877,-71.6450053
339,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/150px-Nelson_Mandela_Stadium.jpg,['Algeria national football team'],36.6937716,3.1219508
340,Kashima Football Stadium,40728,East Asia,Japan,Kashima Ibaraki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/150px-Kashima_Soccer_Stadium_5.jpg,['Kashima Antlers'],35.9681419,140.6405946
341,Baba Yara Stadium,40528,Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/150px-Kumasi924.JPG,"['Asante Kotoko', 'King Faisal Babes']",6.6821626,-1.6051304
342,Estdio Major Antnio Couto Pereira,40502,South America,Brazil,Curitiba Paran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/150px-Est%C3%A1dio_Couto_Pereira.jpg,['Coritiba Foot Ball Club'],-25.4209759,-49.2594803
343,Stage Front Stadium,40500,Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/150px-Estadicornellaelprat_1.jpg,['RCD Espanyol'],41.3481426,2.0745615
