rank,stadium,seating_capacity,region,country,city,image,home_team,latitude,longitude
23,Stade de France,81338,Europe,France,SaintDenis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/StadeFranceNationsLeague2018.jpg/150px-StadeFranceNationsLeague2018.jpg,['France national football team'],48.9244751,2.3601498
24,Grand Sports Arena of the Luzhniki Olympic Complex,81000,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Luzhniki_Stadium2.jpg/150px-Luzhniki_Stadium2.jpg,[],55.7154325,37.5533153
25,Shah Alam Stadium,80372,Southeast Asia,Malaysia,Shah Alam Selangor,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Shah_Alam_Stadium_%28inside%29.jpg/150px-Shah_Alam_Stadium_%28inside%29.jpg,['Selangor FA'],3.0738099,101.5371811
26,Estadio Monumental,80093,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/EstadioUniversitario.jpg/150px-EstadioUniversitario.jpg,['Club Universitario de Deportes'],-12.0556981,-76.936009
27,Stadio Giuseppe Meazza,80018,Europe,Italy,Milan Lombardy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg/150px-Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg,"['AC Milan', 'Internazionale']",45.4780807,9.123996
28,Guangdong Olympic Stadium,80012,East Asia,China,Guangzhou Guangdong,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/150px-Stade_Olympique_Guangdong.JPG,[],23.134414,113.407309
29,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,Hangzhou Zhejiang,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/150px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,[],30.2273741,120.2334226
30,ATT Stadium,80000,North America,United States,Arlington Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cowboys_Stadium_full_view.jpg/150px-Cowboys_Stadium_full_view.jpg,"['Dallas Cowboys', 'FC Dallas']",32.7479966,-97.0934165
31,Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/150px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,['Congo DR national football team'],-4.3302902,15.3103686
32,Stade Tata Raphal,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"['AS Vita Club', 'DC Motema Pembe']",-4.3388917,15.3237559
33,National Sports Stadium,80000,Africa,Zimbabwe,Harare,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Zimbabwe national football team'],-17.8213959,30.9950297
34,Moi International Sports Centre,80000,Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/150px-Inside_the_Kasarani_Stadium.jpg,['Kenya national football team'],-1.2301457,36.8925629
35,Beijing National Stadium,80000,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Beijing_National_Stadium_2014_2.jpg/150px-Beijing_National_Stadium_2014_2.jpg,[],39.9929431,116.3965112
36,Stade Lopold Sdar Senghor,80000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/150px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,"['Senegal national football team', ""ASC Jeanne d'Arc""]",14.7467034,-17.4519086
37,Maracan,78838,South America,Brazil,Rio de Janeiro Rio de Janeiro,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/150px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"['CR Flamengo', 'Fluminense FC', 'Botafogo FR', 'CR Vasco da Gama']",-22.9123598,-43.2265474
38,Los Angeles Memorial Coliseum,78467,North America,United States,Los Angeles California,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/150px-USC_vs_University_of_Oregon_November_2019.png,['USC Trojans'],34.0136647,-118.2878355
39,Azadi Stadium,78116,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/150px-Azadi_Stadium_%287%29.jpg,"['Iran national football team', 'Esteghlal FC', 'Persepolis FC']",35.724566,51.275455
40,Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/150px-Gbk_persija_arema_20190803.jpg,['Indonesia national football team'],-6.2186488,106.8017727
41,Caesars Superdome,76468,North America,United States,New Orleans Louisiana,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/150px-The_Dome_New_Orleans_Man_Trip.jpg,"['New Orleans Saints', 'Sugar Bowl']",29.951061,-90.0812442
42,Arrowhead Stadium,76412,North America,United States,Kansas City Missouri,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg/150px-25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg,['Kansas City Chiefs'],39.0489647,-94.4840141
43,Empower Field,76125,North America,United States,Denver,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg/150px-SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,['Denver Broncos'],39.7438895,-105.0201094
44,Atatrk Olimpiyat Stadyumu,76092,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/150px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,[],41.0744177,28.7656215
45,Old Trafford,76000,Europe,England,Manchester North West England,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Manchester_United_old_trafford_Ank_Kumar_01.jpg/150px-Manchester_United_old_trafford_Ank_Kumar_01.jpg,['Manchester United'],53.462094,-2.2766419
46,Allianz Arena,75024,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Allainz_Arena_%28Bayern_Munich%29.jpg/150px-Allainz_Arena_%28Bayern_Munich%29.jpg,['FC Bayern Munich'],48.2187966,11.6247074
47,NaghsheJahan Stadium,75000,West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/150px-Naghsh_Jahan_Stadium.jpg,['Sepahan FC'],32.7432511,51.6861831
48,Bank of America Stadium,74867,North America,United States,Charlotte North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bank_of_America_Stadium_soccer.jpg/150px-Bank_of_America_Stadium_soccer.jpg,"['Charlotte FC', 'Carolina Panthers']",35.2257795,-80.852965
49,Millennium Stadium,74500,Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/150px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,['Wales national football team'],51.4782085,-3.1826341
50,Olympiastadion,74475,Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/150px-Berlin_Olympiastadion_nach_Umbau.jpg,['Hertha BSC'],52.5146782,13.239517
51,Cairo International Stadium,74100,Africa,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cairo_Stadium_Afcon_u23_2019.jpg/150px-Cairo_Stadium_Afcon_u23_2019.jpg,"['Egypt national football team', 'Al Ahly', 'Zamalek']",30.0690539,31.3120368
52,FirstEnergy Stadium,73200,North America,United States,Cleveland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/FirstEnergy_Stadium_panorama_2016.jpg/150px-FirstEnergy_Stadium_panorama_2016.jpg,['Cleveland Browns'],41.5060535,-81.6995481
53,Estdio Nacional Man Garrincha,72788,South America,Brazil,Braslia Distrito Federal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/150px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"['Brasília FC', 'Legião FC']",-15.78356,-47.8992446
54,Stadio Olimpico,72698,Europe,Italy,Rome Lazio,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg/150px-The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"['AS Roma', 'Lazio']",41.9339383,12.4547979
55,Nissan Stadium,72327,East Asia,Japan,Yokohama Kanagawa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/150px-International_Stadium_Yokohama-1.jpg,"['Yokohama F. Marinos', 'Yokohama Eagles']",35.5099461,139.6063937
56,NRG Stadium,72220,North America,United States,Houston Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/The_Texans_at_Reliant_Park_1_Jan_2012.jpg/150px-The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"['Houston Texans', 'Houston Dynamo FC']",29.6847219,-95.4107074
57,Shanghai Stadium,72000,East Asia,China,Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Shanghai_Stadium_2008.JPG/150px-Shanghai_Stadium_2008.JPG,['Shanghai Shenhua'],31.181471,121.438378
58,MT Bank Stadium,71008,North America,United States,Baltimore,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/M%26T_Bank_Stadium_USA_soccer.JPG/150px-M%26T_Bank_Stadium_USA_soccer.JPG,['Baltimore Ravens'],39.2779876,-76.6227044
59,MercedesBenz Stadium,71000,North America,United States,Atlanta Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg/150px-Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg,"['Atlanta United FC', 'Atlanta Falcons']",33.7553232,-84.4005905
60,Olympic National Sports Complex Stadium,70000,Europe,Ukraine,Kyiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kyiv_NSC_Olimpiyskyi_5.jpg/150px-Kyiv_NSC_Olimpiyskyi_5.jpg,"['Ukraine national football team', 'FC Dynamo Kyiv']",50.4503596,30.5245025
61,SoFi Stadium,70000,North America,United States,Inglewood California,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/SoFi_Stadium_interior_2021.jpg/150px-SoFi_Stadium_interior_2021.jpg,[],33.9534651,-118.3390396
62,Seoul Olympic Stadium,69950,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%E8%9A%95%E5%AE%A4_03.jpg/150px-%E8%9A%95%E5%AE%A4_03.jpg,[],37.5158376,127.0727986
63,Bak Olimpiya stadionu,69870,West Asia,Azerbaijan,Baku,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg/150px-Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg,['Azerbaijan national football team'],40.429958,49.919602
64,Olympic Stadium,69618,Europe,Greece,Marousi Attica,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Olympic_Stadium_at_Athens_before_a_home_game_of_Panathinaikos_on_February_2%2C_2013.jpg/150px-Olympic_Stadium_at_Athens_before_a_home_game_of_Panathinaikos_on_February_2%2C_2013.jpg,['Greece national football team'],38.0359096,23.7869732
65,Olympiastadion Mnchen,69250,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/M%C3%BCnchener_Olympiastadion.jpg/150px-M%C3%BCnchener_Olympiastadion.jpg,[],48.1731612,11.5465866
66,Lumen Field,69000,North America,United States,Seattle Washington,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Qwest_Field_North.jpg/150px-Qwest_Field_North.jpg,"['Seattle Sounders FC', 'Seattle Seahawks']",47.5951518,-122.3316393
67,Estadio Olmpico Universitario,68954,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Estadio_Pumas.jpg/150px-Estadio_Pumas.jpg,['UNAM Pumas'],19.3319056,-99.1921777
68,Gillette Stadium,68756,North America,United States,Foxborough Massachusetts,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Stadiumguillete_%28cropped%29.jpg/150px-Stadiumguillete_%28cropped%29.jpg,"['New England Patriots', 'New England Revolution']",42.0909458,-71.2643465
69,King Abdullah Sports City Stadium,68560,West Asia,Saudi Arabia,Jeddah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jawhara_Stadium.jpg/150px-Jawhara_Stadium.jpg,"['Saudi Arabia national football team', 'Al-Ahli Saudi FC', 'Al-Ittihad Saudi Club']",21.763245,39.1643229
70,Lincoln Financial Field,68532,North America,United States,Philadelphia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/USA-Turkey-Linc.jpg/150px-USA-Turkey-Linc.jpg,"['Philadelphia Eagles', 'Temple Owls football']",39.9013695,-75.1675215
71,Levis Stadium,68500,North America,United States,Santa Clara California,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Entering_Levi%27s_Stadium.JPG/150px-Entering_Levi%27s_Stadium.JPG,['San Francisco 49ers'],37.4033165,-121.9693774
72,Acrisure Stadium,68400,North America,United States,Pittsburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Heinz_Field_NHL_Winter_Classic.jpg/150px-Heinz_Field_NHL_Winter_Classic.jpg,"['Pittsburgh Steelers', 'Pittsburgh Panthers football']",40.4467648,-80.0157603
73,Gazprom Arena,68134,Europe,Russia,Saint Petersburg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Fina-l2017.jpg/150px-Fina-l2017.jpg,['FC Zenit Saint Petersburg'],59.972728,30.2214045
74,Salt Lake Stadium,68000,South Asia,India,Kolkata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg/150px-Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"['India national football team', 'Mohun Bagan Super Giant', 'East Bengal FC', 'Mohammedan SC']",22.5690538,88.4090443
75,National Stadium,68000,East Asia,Japan,Tokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg/150px-Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg,[],35.6778241,139.7145409
76,TIAA Bank Field,67814,North America,United States,Jacksonville Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/2009_Gator_Bowl.jpg/150px-2009_Gator_Bowl.jpg,['Jacksonville Jaguars'],30.3239099,-81.6373497
77,Cvitas Metropolitano,70460,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wanda-Metropolitano.jpg/150px-Wanda-Metropolitano.jpg,['Atlético de Madrid'],40.4362323,-3.5994819
78,Orange Vlodrome,67394,Europe,France,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/150px-Stade_V%C3%A9lodrome_1.jpg,['Olympique de Marseille'],43.269859,5.3959015
79,Pusks Arna,67215,Europe,Hungary,Budapest,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pusk%C3%A1s_Ar%C3%A9na_01.jpg/150px-Pusk%C3%A1s_Ar%C3%A9na_01.jpg,['Hungary national football team'],47.5030398,19.098161
80,Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg/150px-Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,['Scotland national rugby union team'],55.942195,-3.2409127
81,Lucas Oil Stadium,67000,North America,United States,Indianapolis Indiana,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/LucasOilStadiumTheLuke.jpg/150px-LucasOilStadiumTheLuke.jpg,['Indianapolis Colts'],39.7601007,-86.1638877
82,MorumBIS,66975,South America,Brazil,So Paulo So Paulo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estadio_Morumbi_2014.jpg/150px-Estadio_Morumbi_2014.jpg,['São Paulo FC'],-23.5978856,-46.7201808
83,The Dome,66965,North America,United States,St Louis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/2005_NCAA_North_Carolina_v_Michigan_State.JPG/150px-2005_NCAA_North_Carolina_v_Michigan_State.JPG,['St. Louis BattleHawks'],38.6328232,-90.1885068
84,YadegareEmam Stadium,66833,West Asia,Iran,Tabriz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Yadegar_Emam_stadium_at_night_-_panoramio.jpg/150px-Yadegar_Emam_stadium_at_night_-_panoramio.jpg,['Tractor Sazi FC'],38.0268625,46.2960781
85,Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AFC_Champions_League_Final_1st_leg.jpg/150px-AFC_Champions_League_Final_1st_leg.jpg,['FC Seoul'],37.5682617,126.8972735
86,US Bank Stadium,66655,North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Looking_South-US_Bank_Stadium.jpg/150px-Looking_South-US_Bank_Stadium.jpg,['Minnesota Vikings'],44.9736461,-93.2574945
87,Daegu Stadium,66422,East Asia,South Korea,Daegu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Daegu.Stadium.original.2167.jpg/150px-Daegu.Stadium.original.2167.jpg,['Daegu FC'],35.8298301,128.690203
88,Workers Stadium,66161,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg/150px-New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg,"['Beijing Guoan', 'China national football team']",39.9298807,116.4407424
89,London Stadium,66000,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/London_Stadium_panorama_picture.jpg/150px-London_Stadium_panorama_picture.jpg,['West Ham United'],51.5386745,-0.0164597
90,Raymond James Stadium,65847,North America,United States,Tampa Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RaymondJamesStadium2022.jpg/150px-RaymondJamesStadium2022.jpg,"['Tampa Bay Buccaneers', 'South Florida Bulls football', 'Tampa Bay Vipers']",27.9758691,-82.5033344
91,Hard Rock Stadium,65326,North America,United States,Miami Gardens Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Interior_of_updated_Hard_Rock_Stadium.jpg/150px-Interior_of_updated_Hard_Rock_Stadium.jpg,"['Miami Dolphins', 'Miami Hurricanes football']",25.958326,-80.2395979
92,Olympic Stadium,65255,North America,Canada,Montreal Quebec,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Montreal_Impact_CONCACAF_FINAL.jpg/150px-Montreal_Impact_CONCACAF_FINAL.jpg,['CF Montréal'],45.5577438,-73.5515478
93,Basra International Stadium,65227,West Asia,Iraq,Basra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Basra_International_Stadium_Opening_2.JPG/150px-Basra_International_Stadium_Opening_2.JPG,['Iraq national football team'],30.4399973,47.7798512
94,Camping World Stadium,65000,North America,United States,Orlando Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Citrus_Bowl%2C_Construction_progress.jpg/150px-Citrus_Bowl%2C_Construction_progress.jpg,[],28.5390192,-81.4027525
95,Alamodome,65000,North America,United States,San Antonio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Alamodome_Conference_USA_Championship.jpg/150px-Alamodome_Conference_USA_Championship.jpg,['UTSA Roadrunners football'],29.4169834,-98.4788143
96,Ford Field,65000,North America,United States,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/FordField-2008NCAAtournament-MidwestRegional.jpg/150px-FordField-2008NCAAtournament-MidwestRegional.jpg,['Detroit Lions'],42.3400064,-83.045603
97,Stade Ibn Battuta,65000,Africa,Morocco,Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stade_Ibn_Batuta%2C_Tanger.jpg/150px-Stade_Ibn_Batuta%2C_Tanger.jpg,['IR Tanger'],35.741152,-5.8580531
98,Estdio do Sport Lisboa e Benfica,64642,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LuzLissabon.jpg/150px-LuzLissabon.jpg,['Benfica'],38.7526905,-9.184692
99,Stade du 5juillet1962,64000,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stade_5_Juillet_1962.jpg/150px-Stade_5_Juillet_1962.jpg,['Algeria national football team'],36.7598692,2.9952044
100,Castelo,63903,South America,Brazil,Fortaleza Cear,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Castel%C3%A3o_Arena_%285%29.jpg/150px-Castel%C3%A3o_Arena_%285%29.jpg,"['Ceará SC', 'Fortaleza EC']",-3.7327203,-38.5270134
101,Saitama Stadium 2002,63700,East Asia,Japan,Saitama,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Saitama_Stadium_Panorama.jpg/150px-Saitama_Stadium_Panorama.jpg,"['Urawa Red Diamonds', 'Saitama Wild Knights']",35.9037296,139.7174074
102,Ellis Park Stadium,62567,Africa,South Africa,Johannesburg Gauteng,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg/150px-Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg,"['Orlando Pirates FC', 'Emirates Johannesburg Lions']",-26.1975466,28.0608802
103,Tottenham Hotspur Stadium,62303,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Spurs_stadium_January_2020.jpg/150px-Spurs_stadium_January_2020.jpg,['Tottenham Hotspur'],51.6042205,-0.0662231
104,VELTINSArena,62271,Europe,Germany,Gelsenkirchen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/080110_schalke_arena_germany.JPG/150px-080110_schalke_arena_germany.JPG,['FC Schalke 04'],51.554631,7.0675242
105,Yizhong Sports Centre Stadium,62000,East Asia,China,Qingdao Shandong,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Qingdao_Guoxin_Stadium.jpg/150px-Qingdao_Guoxin_Stadium.jpg,['Qingdao Jonoon FC'],36.105787,120.445514
106,Estdio Governador Magalhes Pinto,61846,South America,Brazil,Belo Horizonte Minas Gerais,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg/150px-Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg,"['Atlético Mineiro', 'Cruzeiro EC']",-19.865867,-43.9711315
107,King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg/150px-%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg,"['Saudi Arabia national football team', 'Al-Hilal', 'Al-Nassr', 'Al-Shabab']",24.7889955,46.8389067
108,Soldier Field,61500,North America,United States,Chicago,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/The_Refurbished_Soldier_Field.jpg/150px-The_Refurbished_Soldier_Field.jpg,['Chicago Bears'],41.8623132,-87.6166884
109,Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,Nanjing Jiangsu,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg/150px-Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg,[],32.010142,118.720051
110,Anfield,65000,Europe,England,Liverpool England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg/150px-Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg,['Liverpool FC'],53.4318521,-2.9609022
111,Estadio Benito Villamarn,60720,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Estadio_Benito_Villamar%C3%ADn_2018001.jpg/150px-Estadio_Benito_Villamar%C3%ADn_2018001.jpg,['Real Betis'],37.3564922,-5.9817117
112,Abuja Stadium,60491,Africa,Nigeria,Abuja,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Football_heaven.jpg/150px-Football_heaven.jpg,['Nigeria national football team'],9.038036,7.4534569
113,MHPArena,60469,Europe,Germany,Stuttgart,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Neckarstadion_2011.jpg/150px-Neckarstadion_2011.jpg,['VfB Stuttgart'],48.7922577,9.23208
114,Celtic Park,60411,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Celtic_park_2.jpg/150px-Celtic_park_2.jpg,['Celtic FC'],55.849696,-4.2055427
115,Estadio de la UNSA,60370,South America,Peru,Arequipa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/OutsideUNSA.jpg/150px-OutsideUNSA.jpg,['FBC Melgar'],-16.4072704,-71.5202789
116,Emirates Stadium,60338,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Emirates_Stadium_-_East_stand_Club_Level.jpg/150px-Emirates_Stadium_-_East_stand_Club_Level.jpg,['Arsenal'],51.5550821,-0.1083998
117,Shenzhen Universiade Sports Centre Stadium,60334,East Asia,China,Shenzhen Guangdong,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg/150px-%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg,[],22.693025,114.219029
118,Estadio Centenario,60235,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Estadio_Centenario_2021.jpg/150px-Estadio_Centenario_2021.jpg,['Uruguay national football team'],-34.8947883,-56.1534664
